identifier,collection,abstract,authors,subject,title
172,0703: Rosanna Blake Collection,Carte de visite of Confederate General William Joseph Hardee.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: C. D. Fredricks & Co. People: Hardee, William Joseph (1815-1873) ",William Joseph Hardee Carte de visite
173,0703: Rosanna Blake Collection,"Carte de visite of Confederate Generals: John B. Hood, Sterling Price, Nathan Forrest, Joseph Johnston, Kirby Smith, Braxton Bragg, Franklin Gardner. No backplate. Small balloons on front read:""Rebel Army"" and ""of Southwest"" Filed in CDV folder with Forrest, Nathan Bedford.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  People: Forrest, Nathan Bedford (1821-1877) Hood, John B. Price, Sterling Gardner, Franklin Smith, Kirby Bragg, Braxton Johnston, Joseph Eggleston (1807-1891) ",Carte de visite of 7 Confederate Generals
174,0703: Rosanna Blake Collection,Carte de visite of Confederate Naval Admiral Raphael Semmes. No backplate. Captain and Commander of the CSS Alabama.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy  Studio: Chas. Magnus People: Semmes, Raphael (1809-1877) ",Raphael Semmes Carte de visite
175,0703: Rosanna Blake Collection,Carte de visite of Confederate Naval Commander George N. Hollins. No backplate.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy  Studio: Chas. Magnus People: Hollins, George N. (1799-1878) ",George N. Hollins Carte de visite
176,0703: Rosanna Blake Collection,Carte de visite of Confederate Naval Commander Matthew F. Maury. No backplate.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy  Studio: Chas. Magnus People: Maury, Matthew Fontaine (1806-1873) ",Matthew F. Maury Carte de visite
177,0703: Rosanna Blake Collection,Carte de visite of Confederate President Jefferson Davis. No backplate.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Presidents Studio: Elias Dexter People: Davis, Jefferson, 1808-1889 ",Jefferson Davis Carte de visite
178,0703: Rosanna Blake Collection,Carte de visite of Confederate Secretary of State Judah P. Benjamin. No backplate. Benjamin was also the Confederate Attorney general and Secretary of War.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Chas. Magnus People: Benjamin, J. P. (Judah Philip), 1811-1884 ",Judah P. Benjamin
179,0703: Rosanna Blake Collection,Carte de visite of Confederate Secretary of War Leroy Pope Walker. Appears to be from a photo in the National Archives.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: J. H. Bufford, Pub. People: Walker, Leroy Pope, 1817-1884 ",Leroy Pope Walker Carte de visite
180,0703: Rosanna Blake Collection,Carte de visite of Confederate Vice President Alexander Hamilton Stephens. Probably cropped from the Brady photo in the National Archives.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Brady National Gallery People: Stephens, Alexander ",Alexander H. Stephens Carte de visite
181,0703: Rosanna Blake Collection,"Carte de visite of Emperor Maximilian of Mexico and wife Carlotta, ca. 1864-1867, b&w Maximilian I of Mexico (6 July 1832 – 19 June 1867; born Archduke Ferdinand Maximilian Joseph of Austria) was a member of the Imperial House of Habsburg-Lorraine. After a distinguished career in the Austrian Navy he was proclaimed Emperor of Mexico, during the Second Mexican Empire, with the backing of Napoleon III of France and a group of Mexican monarchists on 10 April 1864. Maximillian tried earnestly to solve Mexico's problems but could not: he was caught by liberal forces in 1867 and executed. Carlotta was Daughter of Leopold I of Saxe-Coburg-Gotha, king of Belgium, a Protestant, and Louise of France, a Catholic, the Princess Charlotte married Maximilian, archduke of Austria, younger brother of the Hapsburg Austrian Emperor Francis Joseph I, on July 27, 1856.",,Subject Terms: Mexico  People: Carlotta Emperor Maximilian Empress Carlotta Maximilian I ,Carte de visite of Emperor Maximilian of Mexico and wife Carlotta
182,0703: Rosanna Blake Collection,"Carte de visite of Herschel Vespasian Johnson, member Confederate Senate, and Governor of Georgia. Print is from a negative by Matthew Brady.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E. Anthony People: Johnson, Herschel Vespasian (1812-1880) ",Herschel Vespasian Johnson Carte de visite
183,0703: Rosanna Blake Collection,"Carte de visite of Lucius Quintus Cincinnatus Lamar. U.S. Congressman pre-Civil War, Confederate colonel and special commissioner to Russia for the Confederate Govt., and Secretary of the Interior in 1885.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Brady's National Portrait Gallery People: Lamar, L.Q.C. ",Lucius Q. C. Lamar Carte de visite
184,0703: Rosanna Blake Collection,"Carte de visite of Varina Howell Davis, wife of Confederate President Jefferson Davis.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Charles D. Fredricks & Co. People: Davis, Varina Howell (1826-1906) ",Varina Howell Davis Carte de visite
185,0703: Rosanna Blake Collection,"Charles H. Neuman of Woodstock, Va. Carte de visite. Inside cover of small album reads ""Charles H. Newman, Lexington, Virginia March 20th/66""",,"Subject Terms:   Studio: Boude & Miley, Photographers People: Neuman, Charles H. ",Charles H. Neuman
186,0703: Rosanna Blake Collection,"Circular Order from the Office of orders and Detail of the C.S. Navy, dated 1864, giving allowance for mileage for officers. Was written by command of the Confederate Secretary of the Navy. Signature may be Keel or Kee?",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy Military policy ","Circular Order from the Office of orders and Detail of the C.S. Navy, dated 1864, giving allowance for mileage for officers."
187,0703: Rosanna Blake Collection,"Handwritten letter from Madora Mums(?) to her friend Emma ---, dated Charleston (S.C.?) Dec. 15, 1864,discusses Yankeys coming. Letter is about the ""Yankeys"" coming to Columbia and other places. She wrote: ""Father of mercies hear our prayer and shed the light of thy countenance on us.""",,"Subject Terms: Civil War, 1861-1865 Charleston, S.C. War destruction & pillage ","Handwritten letter from Madora Mums(?) to her friend Emma ---, dated Charleston (S.C.?) Dec. 15, 1864, discusses Yankeys coming."
188,0703: Rosanna Blake Collection,"List of guards assigned from 19th Regiment Virginia Militia to guard a CSA military prison and hospital, 22 July 1864. Lieut. James A. Scott, Co E commanding. All the guards listed were from the 19th Regiment Virginia Militia. Notation on back says it was CS hospital No. 1.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America 19th Regiment Virginia Militia Guards Militias People: Scott, James A. ","List of guards assigned from 19th Regiment Virginia Militia to guard a CSA military prison and hospital, 22 July 1864. Lieut. James A. Scott, Co E commanding."
189,0703: Rosanna Blake Collection,Page of four blank soldier's furlough forms. All dated 1864 and intended for use by Confederate hospitals in Virginia. These forms are intended for use in Confederate hospitals to furlough in injured soldier. A note on the bottom of each states the soldier is to report back to his regiment when his furlough expires.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Paperwork Hospitals ",Page of four blank soldier's furlough forms. All dated 1864 and intended for use by Confederate hospitals in Virginia.
190,0703: Rosanna Blake Collection,"Print of Capt. John N. Maffit, Confederte States Navy, by Joseph. E. Baker. Ca. 1863-1865? Baker lived 1837-1914. Did many ship & nautical paintings in 1890's.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America CSS Florida Confederate States Navy Ship captains Boats Blockade running People: Maffit, Capt. John N. Baker, J. E. ","Capt. John N. Maffit, CSN, commanding the Rebel steamer Florida"
191,0703: Rosanna Blake Collection,"Special Order No.?, issued by Col. Dud W. Jones, commanding 9th Texas Cavalry, CSA, Aug. 1, 1864. Special order reg. Pvt. J. f. Moreland of Company K, 9th Texas Cavalry, ordered to go on duty as quartermaster sergeant. Order by Col. Dud W. Jones, commanding, by G. L. Griscom, adjutant.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America General Orders Special Orders  People: Jones, Dud W. Griscom, G. L. Moreland, J. F. ","Special Order No.?, issued by Col. Dud W. Jones, commanding 9th Texas Cavalry, CSA, Aug. 1, 1864."
192,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, February 2nd, 1864, Flag showing result of four days' use, June 20th, 1864, replacing the flag on the gorge wall, ( from a sketch by Maj. John Johnson), 18.5x12.5cm Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina This scene of flag-raising occurred over the ""central bomb-proof,"" on the 20th June, 1864, and was conspicuous among the many such acts of gallantry, on account of the greatest and longest exposure of person involved. The principal actor was Lieutenant Charles H. Claiborne, of the First South Carolina Infantry (Regulars), from Maryland. He and his assistants were complimented by General Beauregard, in a General Order from Department Headquarters. The scene, and the flags on the same page, are reproduced from sketches by an officer on duty at the time in the Fort.",,,"Fort Sumter, February 2nd, 1864, Flag showing result of four days' use, June 20th, 1864, replacing the flag on the gorge wall, ( from a sketch by Maj. John Johnson)"
193,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, March 1864, interior of east battery, with palmetto shield, 18.5x12.5cm From a photo Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina Period of the greatest ruin. To obtain a cross-fire from Fort Sumter with the works on Sullivan's Island, Fort Moultrie and others, three guns were mounted as described in the lowere casemates of Sumter near the eastern angle; but the outer wall having been much shaken and weakened by the naval fire of the attack, resort was had to a crib-work of logs (palmetto) projecting ten feet outside of the wall, filled with debris, and pierced with embrasures for short range firing upon the main channel. Had the armored vessels ever attempted to run past into the harbor, these guns behind their cracked brick wall, strengthened by a palmetto shield, might have done some service; as it happened they were never called into action. The upright irons placed along the water's edge of the sea-front, served the two-fold purpose of retaining other horizontally laid irons for a footing to the slope of tide and storm-washed debris, and of carrying strong iron wires from post to post, in the way of obstruction and entanglement. Evidence of the great loss of material to the fort is shown in the large blocks of masonry fallen from about to the water's edge.",,,"Fort Sumter, March 1864, interior of east battery, with palmetto shield"
194,0096: Nimrod Mason Papers,"State Appointment of Nimrod Mason as 2nd Lieutenant in the 7th WVa Cavalry (US), Sept 22, 1864. Signed by A. I. Boreman Governor and F. P. Peitpoint, Adj. Ge.",,"People: Mason, Nimrod Peirpoint, F. P. Boreman, Arthur I. Subject Terms: Civil War, 1861-1865; 7th West Virginia Cavalry; US Army; United States Military; United States Army; West Virginia Governors; West Virginia military units","State Appointment of Nimrod Mason as 2nd Lieutenant in the 7th WVa Cavalry (US), Sept 22, 1864."
195,0096: Nimrod Mason Papers,"Discharge of Nimrod Mason as 2nd Lieutenant in the 7th WVa Cavalry (US), Sept 25, 1864. Signed by Gen. John Hunt Oley. This was so he could re-enlist.",,"People: Mason, Nimrod Oley, Gen. John Hunt Oley, John Hunt Subject Terms: Civil War, 1861-1865; 7th West Virginia Cavalry; US Army; United States Military; United States Army; West Virginia Governors; West Virginia military units","Discharge of Nimrod Mason as 2nd Lieutenant in the 7th WVa Cavalry (US), Sept 25, 1864"
196,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, 1865, elevation of northeastern front, 18.5x12.5cm Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina This elevation, taken soon after the evacuation, shows the ""right face"" of the Fort, oppostie to Sullivan's Island. The crib-work protects the ""three-gun-battery"" within the only casemates left in this region of the Fort. The exterior slope of the sea-front, on the left, is of debris, less practicable for assault than it appears to be. The height of the angle on the left is nearly the original height of the parapet, but the average of the sea-front is scarcely twenty feet, or one-half of what it once was.",,,"Fort Sumter, 1865, elevation of northeastern front"
197,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, 1865, elevation of northern front, 18.5x12.5cm Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina This elevation, taken soon after the evacuation, shows the exterior of the ""left face"" of the Fort, toward Mount Pleasant. The jagged crest of its ruined brick wall has been filled in with gabions, and made to present some lines of restored order. Two of the embrasures of the lower tier have been destroyed, and all the casemates of the upper tier.",,,"Fort Sumter, 1865, elevation of northern front"
198,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, 1865, elevation of western front, 18.5x12.5cm Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina This view is an ""elevation"" of the western or city-front, the left flank of the Fort. On the right, it shows the remainder of the parapet, forty feet above high water. On the left is seen the new sally-port opened for the new landing. Indications of a second tier of casemates are seen in loop-holes at that level, but they open only into bomb-proof chambers of timber, built in place of the ruined casemates. This elevation was a drawing soon after the evacuation.",,,"Fort Sumter, 1865, elevation of western front"
199,0099: Cabell-Wayne Historical Society Collection,"Fort Sumter, 1865, plan and horizontal section-six feet about high water, 18.5x12.5cm Fort Sumter as it was during the War, showing the effects of the bombardment by Maj. John Johnson, Engineer at Fort Sumter Publisher: Walker, Evans & Cogswell Co.,Charleston, S.C. Compliments of J. F. Weruer, Sullivans Island, S.C. Sergent Charles E. Walker, Battery M. 1 artillery, Sullevans Island, South Carlina This ground-plan of the Fort, as it was arranged before evacuation, shows changes as great as they were necessary, from its original plan. The only regions unchanged are the three lower casemates, opposite Fort Moultrie, near the eastern angle, and the entire line of casemates on the western or city-front. The greatest ruin and repair are seen in the two faces adjoining the main salient, and in the eastern or sea-front, and in the gorge. All these parts, being ruined, were covered over securely with earth. The greatest ruin was all along the sea-front, where the outer wall had been battered down to within three or four feet of the water's edge. A part of the original stone wharf is seen on the gorge. The new landing, required to be built under cover from the fire of the enemy, is seen on the western or city-front of the Fort. All the upper tier of casemates had been destroyed.",,,"Fort Sumter, 1865, plan and horizontal section-six feet about high water"
200,0227: Marshall University Regional Photograph Collection,"Charles Kingsley (12 June 1819 – 23 January 1875) was an English clergyman, university professor, historian and novelist, col. backprint reads: Photographers to the Queen he was best known as a clergyman",,"Subject Terms: man photograph historian writer novelist university professor clergyman preacher priest United Kingdom Great Britain England London Clergy  Studio: John & Charles Watkins People:Kingsley, Charles (1819-1875) ","Rev. Charles Kingsley, English clergyman"
201,0227: Marshall University Regional Photograph Collection,"Charles Thomas Longely, Archibishop of Canterbury 1862-1868, col. backprint reads: photographed from life by Mayall, London and Brighton",,"Subject Terms: Archbishop of Canterbury Churches Clergy  Studio: Mayall People:Longely, Charles Thomas ","Charles Thomas Longely, Archibishop of Canterbury, 1862-1868"
202,0227: Marshall University Regional Photograph Collection,"Crown Prince and Princess of Prussia, ca. 1865, col. backprint reads: photographers to her Majesty the Queen and the Prince of Wales. Published by messrs,. A. Marion & son, Soho It is very difficult to figure out exactly who this prince was. He might have been one of the Williams, or Wilhelms, possibly Wilhelm I.",,Subject Terms: Royal Family   Studio: Hills & Saunders People:Wilhelm I Crown Prince of Prussia ,"Crown Prince and Princess of Prussia, ca. 1865"
203,0227: Marshall University Regional Photograph Collection,"Dr. John William Colenso, Lord Bishop of Natal, col. Backprint reads: Under the patronage of her Majesty",,"Subject Terms: England Clergy  Studio: London Stereoscopic Co. People:Colenso, John William (1814-1883) Lord Bishop of Natal ","Dr. John William Colenso, Lord Bishop of Natal"
204,0227: Marshall University Regional Photograph Collection,"Francis Paul Charles Louis Alexander, or Francis, Duke of Teck, later Prince of Teck, member of the British royal family, col. backprint reads: Photographers to Her majesty the Queen and the Prince of Wales He thus married into a richer family, by marrying his father's third cousin (in descent from King George II of Great Britain) Princess Mary Adelaide of Cambridge, the younger daughter of Prince Adolphus, Duke of Cambridge, and a granddaughter of George III, who was known as 'Fat Mary' because of her wide girth.",,"Subject Terms: Prince of Teck Duke of Teck Royal Family   Studio: Hills & Saunders People:Alexander, Francis Paul Charles Louis Fat Mary ","Francis, Prince of Teck"
205,0227: Marshall University Regional Photograph Collection,"General Benedicke , col. Unable to identify who this was.",,"Subject Terms: England Generals  Studio: Clarkington & Co. People:Benedicke, General ",General Benedicke
206,0227: Marshall University Regional Photograph Collection,"George Campbell, 8th Duke of Argyle, ca. 1865 col. The front of the card says only the Duke of Argyle, but judging it was ca. 1865, this would probably have been George Campbell, the 8th Duke. (1823-1900)",,"Subject Terms: Duke of Argyle   Studio: London Stereoscopic & Photographic Co. People:Campbell, George ","George Campbell, 8th Duke of Argyle, ca. 1865"
207,0227: Marshall University Regional Photograph Collection,"Louis IV, Grand Duke of Hesse, in ca. 1865 when he was Prince Ludwig of Hesse , col. backprint reads: photographers to her Majesty the Queen and the Prince of Wales. Published by messrs,. A. Marion & son, Soho Through his own and his children's marriages, the prince was connected to the British royal family.",,"Subject Terms: Royal Family   Studio: Hills & Saunders People:Prince Ludwig of Hesse Karl, Friedrich Wilhelm Ludwig Louis IV ",Prince Ludwig and Princess of Hesse & their children
208,0227: Marshall University Regional Photograph Collection,"Princess Helena, (Helena Augusta Victoria: Princess Christian of Schleswig-Holstein by marriage), ca. 1865, col. The Princess Helena (Helena Augusta Victoria: Princess Christian of Schleswig-Holstein by marriage;[1] 25 May 1846 – 9 June 1923) was a member of the British Royal Family, the third daughter and fifth child of Queen Victoria and Prince Albert of Saxe-Coburg and Gotha.",,"Subject Terms: Royal Family   Studio: Wothlytype People:Victoria, Helena Augusta Princess Helena ",Princess Helena of England
209,0227: Marshall University Regional Photograph Collection,"unidentified young girl, hand colored, ca. 1865, col. The importance of this cdv is that is was hand colorized, with blush added to her cheeks, and blue trim on her dress. This was popular after the Civil War in the US.",,"Subject Terms: Charleston, S.C.   Studio: George S. Cook People:Unidentified Cook, George S. ","Unidentified young girl, hand colored"
210,0245: Claude Morgan Papers,"Robert E. Lee in Richmond, Va., after the surrender, 1865, b&w. This photo is generally credited as being taken outside Lee's home in Richmond, late April 1865. Original was a Matthew Brady image.",,"Subject Terms: Richmond, Va.; Confederate States Army; Confederate States of America; Generals People: Lee, Robert E. (Robert Edward), 1807-1870; Brady, Matthew","Robert E. Lee in Richmond, Va., after the surrender, 1865"
211,0380: Mary Burnside Reynolds Papers,"Camp Douglas group: Rebs for background for Union soldiers. Title from album and photograph. Officers in front row are Confederate army officers, not Union. Carte-de-visite.",,"Subject Terms: Camp Douglas, Ill.; Civil War, 1861-1865; Prisoners of war (Confederate) People: Shaffer, ________ Eastman, ________ Finch, _______ McKay, ________ Chadwick, ________ Nesbit[?] [illeg.], _______ ",Camp Douglas group: Rebs for background for Union soldiers
212,0380: Mary Burnside Reynolds Papers,Ella Dinsmore.  Carte-de-visite.,,"Subject Terms: Tintypes People: Dinsmore, Ella Dinsmoor, Ella ",Ella Dinsmore
213,0380: Mary Burnside Reynolds Papers,"Hooker, Joseph. Engraved by L. Prang & co., Boston, signed Stenzel. Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Engravings; Generals Studio: Golden & Sammons People: Hooker, Joseph (1814-1879) ","Hooker, Joseph"
214,0380: Mary Burnside Reynolds Papers,Lieut. Gen. Grant.  Carte-de-visite.,,"Subject Terms: Civil War, 1861-1865 US Army; Engravings; Presidents; Generals Studio: Golden & Sammons People: Grant, Ulysses Simpson (1822-1885) ",Lieut. Gen. Grant
215,0380: Mary Burnside Reynolds Papers,"Lincoln, Abraham.  Carte-de-visite.",,"Subject Terms: Presidents People: Lincoln, Abraham (1809-1865) ","Lincoln, Abraham"
216,0380: Mary Burnside Reynolds Papers,"Lincoln, Mary Todd.  Carte-de-visite.",,"Subject Terms: First Ladies People: Lincoln, Mary Todd (1818-1882) ","Lincoln, Mary Todd"
217,0380: Mary Burnside Reynolds Papers,Maj. Gen. G. H. Thomas.  Carte-de-visite.,,"Subject Terms: Civil War, 1861-1865 US Army Studio: Golden & Sammons People: Thomas, George Henry (1816-1870) ",Maj. Gen. G. H. Thomas
218,0380: Mary Burnside Reynolds Papers,Maj. Gen. Sherman.  Carte-de-visite.,,"Subject Terms: Civil War, 1861-1865 US Army; Generals Studio: Golden & Sammons People: Sherman, William Tecumseh (1820-1891) ",Maj. Gen. Sherman
219,0380: Mary Burnside Reynolds Papers,"Mansfield, Joseph King Fenno.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Mansfield, Joseph King Fenno (1803-1862) ","Mansfield, Joseph King Fenno"
220,0380: Mary Burnside Reynolds Papers,"McCook, Alexander McDowell.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: McCook, Alexander McDowell (1831-1903) ","McCook, Alexander McDowell"
221,0380: Mary Burnside Reynolds Papers,"McKimm?, Ella.  Carte-de-visite.",,"People: McKimm [?], Ella. ","McKimm?, Ella"
222,0380: Mary Burnside Reynolds Papers,"Meade, George Gordon.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Meade, George Gordon (1815-1872) ","Meade, George Gordon"
223,0380: Mary Burnside Reynolds Papers,"Meagher, Thomas Francis. Meagher was commander of the famous ""Irish Brigade"" in the Union Army during the Civil War. Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865; Irish Brigade; US Army; Generals People: Meagher, Thomas Francis (1823-1867) ","Meagher, Thomas Francis"
224,0380: Mary Burnside Reynolds Papers,Mr. Ball.  Tintype.,,"Subject Terms: Tintypes People: Ball, Mr. ",Mr. Ball
225,0380: Mary Burnside Reynolds Papers,"Mrs. Dinsmore, intimate friend of Mr. & Mrs. R. F. Morris. Title from album; two spellings of last name. Carte-de-visite.",,"People: Dinsmore, Mrs. Dinsmoor, Mrs. ","Mrs. Dinsmore, intimate friend of Mr. & Mrs. R. F. Morris"
226,0380: Mary Burnside Reynolds Papers,"Pleasonton, Alfred.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865; US Army; Generals People: Pleasonton, Alfred (1824-1897). ","Pleasonton, Alfred"
227,0380: Mary Burnside Reynolds Papers,"Rosecrans, William Starke.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Rosecrans, William Starke (1819-1898) ","Rosecrans, William Starke"
228,0380: Mary Burnside Reynolds Papers,"Sherman, William Tecumseh.  Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Sherman, William Tecumseh (1820-1891) ","Sherman, William Tecumseh"
229,0380: Mary Burnside Reynolds Papers,"The new picture of the eagle. On verso: Address--Alfred L. Sewell, care of Dunlop, Sewell & Spalding, Chicago, Ill. Carte-de-visite.",,"Subject Terms: 8th Wisconsin Regiment; Great Sanitary Fair, Chicago, 1865; ""Old Abe""; Civil War, 1861-1865; Mascots ",The new picture of the eagle
230,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,People: Unidentified ,Unidentified male
231,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,"Subject Terms: Civil War, 1861-1865 US Army People: Unidentified ",Unidentified male
232,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
233,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
234,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
235,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
236,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
237,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,"Subject Terms: Civil War, 1861-1865; US Navy ",Unidentified male
238,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
239,0380: Mary Burnside Reynolds Papers,Unidentified male.  Carte-de-visite.,,,Unidentified male
240,0380: Mary Burnside Reynolds Papers,"Unidentified Union Army Geeral. (original catalog date was 03/19/2008, this catdate is date image was added) no backprint Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals ",Unidentified Union Army Geeral
241,0380: Mary Burnside Reynolds Papers,"Union Gen. Duryee, Abram. Note on back reads: [Abram Duryee] Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Duryee, Abram (1815-1890) ","Union Gen. Duryee, Abram"
242,0380: Mary Burnside Reynolds Papers,"Union Gen. Franklin, William Buel. Back reads: Gen.Franklin Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Franklin, William Buel (1823-1903) ","Union Gen. Franklin, William Buel"
243,0380: Mary Burnside Reynolds Papers,"Union Gen. Garfield, James Abram. Note on back reads: Gen. Garfield Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals People: Garfield, James Abram (1831-1881) ","Union Gen. Garfield, James Abram"
244,0380: Mary Burnside Reynolds Papers,"Union Gen. Hancock, Winfield Scott. Backprint reads: Pub by New York Photographic Co. No. 453 Broadway, New York Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals Studio: New York photographic co. People: Hancock, Winfield Scott (1824-1886) ","Union Gen. Hancock, Winfield Scott"
245,0380: Mary Burnside Reynolds Papers,"Union Gen. Howard, Oliver Otis. Backprint reads: Pub by New York Photographic Co., No. 453 Broadway, New York Carte-de-visite.",,"Subject Terms: Civil War, 1861-1865 US Army; Generals Studio: New York photographic co. People: Howard, Oliver Otis (1830-1909) ","Union Gen. Howard, Oliver Otis"
246,0525: Doris C. Miller Papers,"Grand Army of the Republic (GAR) group of ex-Union Civil War soldiers, b&w mounted on cardboard. Notes on back read: Grand Army of Republic Group from pictures of the late James M. Stock of Central City of Huntington. Return to Doris C. Miller.",,"Subject Terms: Grand Army of the Republic GAR US Army Civil War, 1861-1865 Soldiers Group portraits Veterans' organizations ",GAR group of ex-Union Civil War soldiers
247,0655: Ensign Family Papers,"Pen and ink sketch of a skeleton, with caption: ""rebellion as it is today April 10, 1865"". ""Rebellion as it is today, April 10, 1865."" This was the day after Robert E. Lee's surrender at Appomattox Courthouse. It is unsigned, but must have been by one of the Ensigns. Pencil note on back reads: Louise Clearland, Asylum Hills Hartford, Conn.",,"Subject Terms: Ensign family Civil War, 1861-1865 Art Sketches People: Clearland, Louise ","Rebellion, Apr. 10, 1865"
248,0703: Rosanna Blake Collection,"""Allegorical"" lithograph entitled: ""The Outbreak of the Rebellion in the United States, 1861,"" by Kimmel & Forester, 1865 As of 10/31/2013 various dealers on internet price this print at $1,275 to $1,500. A Northern print, critical of Buchanan, Jefferson Davis, John Floyd, etc. There is a companion print ""The End of the Rebellion in the United States 1865."" Kimmel & Forester was a well-known New York print publisher.",,"Subject Terms: Civil War, 1861-1865  Studio: Kimmel & Forester People: Lincoln, Abraham (1809-1865) Davis, Jefferson, 1808-1889 Buchanan, James, (1791-1868) Floyd, John Buchanan (1806-1863) ","lithograph entitled: ""The Outbreak of the Rebellion in the United States, 1861,"""
249,0703: Rosanna Blake Collection,"Broadside outlining Confederate surrender conditions, paroling of Confederate soldiers, general orders for occupation of Shreveport, La. Gift from James Jeffrey, Denver Public Library.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Shreveport, La. Broadsides Surrenders ","Broadside outlining Confederate surrender conditions, paroling of Confederate soldiers, general orders for occupation of Shreveport, La."
250,0703: Rosanna Blake Collection,"Carte de visite of Confederate Commanders by E. & H.T. Anthony , b&w Backprint is list identifying the 67 officers on front of cdv.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Army Armies Studio: E & H.T. Anthony People: Lee, Robert E. (Robert Edward), 1807-1870 Jenkins, Albert Gallatin ","""Southern Chiefs"" Confederate Army Commanders"
